City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,prince rupert,54.3161,-130.3201,12.05,98,100,4.12,CA,1693947619
1,ataq,14.5377,46.8319,29.02,43,91,2.39,YE,1693947853
2,arteche,12.2645,125.4048,25.37,88,100,1.39,PH,1693947853
3,rocha,-34.4833,-54.3333,7.31,69,23,3.72,UY,1693947853
4,bikenibeu village,1.3673,173.1241,30.98,70,20,4.12,KI,1693947853
5,puerto natales,-51.7236,-72.4875,3.52,62,9,1.33,CL,1693947853
6,ust-nera,64.5667,143.2,5.58,69,82,1.66,RU,1693947853
7,port-aux-francais,-49.35,70.2167,2.63,78,99,14.77,TF,1693947854
8,tsiombe,-25.3,45.4833,20.53,73,0,1.51,MG,1693947854
9,fuling,29.7022,107.3919,23.59,75,0,1.75,CN,1693947854
10,pontian kechil,1.4866,103.3896,27.78,89,94,2.22,MY,1693947854
11,georgetown,5.4112,100.3354,26.64,94,20,1.54,MY,1693947607
12,olonkinbyen,70.9221,-8.7187,5.89,89,60,8.87,SJ,1693947854
13,edinburgh of the seven seas,-37.0676,-12.3116,14.12,87,100,14.08,SH,1693947854
14,daru,-9.0763,143.2092,24.27,88,89,6.49,PG,1693947854
15,dzuunharaa,48.8523,106.4579,18.46,50,48,2.63,MN,1693947855
16,fort bragg,35.139,-79.006,36.36,46,20,1.54,US,1693947662
17,iqaluit,63.7506,-68.5145,4.85,80,100,4.63,CA,1693947614
18,utrik,11.2278,169.8474,28.43,73,94,6.49,MH,1693947855
19,santa elena de uairen,4.6167,-61.1333,27.22,49,63,2.87,VE,1693947855
20,atafu village,-8.5421,-172.5159,28.26,78,5,7.47,TK,1693947855
21,juuka,63.2333,29.25,7.86,93,49,5.04,FI,1693947855
22,el hadjira,32.6134,5.5126,33.32,29,6,6.68,DZ,1693947855
23,dzhalagash,45.0833,64.6667,17.98,43,94,3.41,KZ,1693947855
24,santa cruz,-17.8,-63.1667,26.03,41,75,5.66,BO,1693947607
25,bilibino,68.0546,166.4372,0.48,72,96,1.86,RU,1693947856
26,south hedland,-20.4089,118.5983,15.96,94,98,2.06,AU,1693947856
27,kegeyli shahar,42.7767,59.6078,20.05,47,37,3.96,UZ,1693947856
28,adamstown,-25.066,-130.1015,20.0,84,100,7.03,PN,1693947856
29,saldanha,-33.0117,17.9442,7.03,63,1,2.81,ZA,1693947856
30,waitangi,-43.9535,-176.5597,12.12,92,100,1.34,NZ,1693947856
31,awjilah,29.1081,21.2869,27.84,28,25,2.33,LY,1693947856
32,papao,-17.75,-149.55,26.82,92,100,11.59,PF,1693947856
33,lihue,21.9789,-159.3672,29.3,64,0,3.09,US,1693947856
